Case Num,CA-LOS ANGELES,CA-LOS GATOS,CA-SAN DIEGO,CA-WALNUT CREEK,DE-WILMINGTON,FL-CLEARWATER,IL-CHICAGO,MA-FRAMINGHAM,MA-SPRINGFIELD,MI-ANN ARBOR,NC-CHARLOTTE,NY-BUFFALO,NY-NEW YORK CITY,OH-COLUMBUS,OH-CLEVELAND HEIGHTS,OH-TOLEDO,PA-PHILADELPHIA,PA-PITTSBURGH,WA-KENT,WI-MADISON,FL-Lauderdale Lakes
82,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
139,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
205,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
222,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
227,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
231,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
235,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0,NA
238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
257,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
271,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0,NA
278,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
281,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
292,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
309,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,NA
318,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
324,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
534,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,NA
565,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0,NA
681,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0,NA
682,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
683,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
684,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0,0,NA
685,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
686,0,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,NA
687,0,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,NA
694,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,NA
695,0,0,0,0,1,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,NA
697,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,1,1,0,1,NA
698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
699,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,NA
700,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,NA
701,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,1,1,0,1,NA
702,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,NA
799,0,0,1,0,0,1,0,1,0,1,1,1,0,1,0,0,1,1,0,0,NA
823,0,0,1,0,1,1,0,1,0,1,1,1,0,1,0,0,1,1,0,0,NA
832,0,0,1,0,1,1,0,1,0,1,1,1,0,1,0,0,1,1,0,0,NA
836,0,0,1,0,0,1,0,1,0,1,1,1,0,1,0,0,1,1,0,0,NA
854,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,NA
858,0,0,1,0,1,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0,NA
