Case Num,CA-LOS ANGELES,CA-LOS GATOS,CA-SAN DIEGO,CA-WALNUT CREEK,DE-WILMINGTON,FL-CLEARWATER,IL-CHICAGO,MA-FRAMINGHAM,MA-SPRINGFIELD,MI-ANN ARBOR,NC-CHARLOTTE,NY-BUFFALO,NY-NEW YORK CITY,OH-COLUMBUS,OH-CLEVELAND HEIGHTS,OH-TOLEDO,PA-PHILADELPHIA,PA-PITTSBURGH,WA-KENT,WI-MADISON,NY-Westchester
262,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
295,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
297,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
303,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
310,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
316,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
325,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0,NA
337,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
340,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
365,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
375,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
376,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
379,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
383,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
386,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
390,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
395,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
396,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
399,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
402,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
423,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
426,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
466,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0,NA
474,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,NA
483,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
484,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
637,0,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,0,1,1,0,NA
638,0,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0,1,NA
641,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,1,1,0,1,NA
644,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,NA
645,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA
650,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,NA
651,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,NA
673,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0,NA
674,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0,NA
706,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,NA
707,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
709,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
722,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,NA
747,0,0,1,0,0,1,0,1,0,1,1,1,0,1,0,0,1,1,0,0,NA
768,0,0,1,0,0,1,0,1,0,1,1,1,0,1,0,0,1,1,0,0,NA
822,0,0,1,0,0,1,0,1,0,1,1,1,0,1,0,0,1,1,0,0,NA
842,0,0,1,0,1,1,0,1,0,1,1,1,0,1,0,0,1,1,0,0,NA
870,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,NA
897,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,NA
