case,number of children,number of adults,number of seniors
82,0,1,0
139,0,2,0
205,1,2,0
222,0,2,0
227,0,2,0
231,0,1,0
235,4,2,0
238,2,1,0
257,2,2,0
271,5,2,0
278,0,1,0
281,0,1,0
292,0,1,0
309,1,1,0
318,2,2,0
324,0,1,0
534,2,2,0
565,4,2,0
681,4,2,0
682,1,2,0
683,1,2,0
684,1,2,0
685,0,1,0
686,1,2,0
687,2,2,0
694,1,2,0
695,1,1,0
697,1,1,0
698,1,0,0
699,0,1,0
700,0,3,0
701,1,1,0
702,0,1,0
799,0,1,1
823,0,1,0
832,1,2,0
836,0,0,1
854,7,2,1
858,5,4,0
889,1,3,0
890,2,1,0
891,1,0,0
892,1,1,0
893,2,2,0
899,0,2,0
900,2,2,0
901,0,1,0
902,0,1,0
903,1,1,0
904,0,1,0
905,0,1,0
906,0,1,0
907,2,2,0
908,0,1,0
909,0,1,0
910,0,1,0
911,0,1,0
912,0,1,0
913,0,2,0
914,0,1,0
915,2,1,0
916,2,2,0
917,1,1,0
1005,1,3,0
1008,2,2,0
1013,0,2,0
1014,1,2,0
1015,0,1,0
1018,2,2,0
1021,0,1,0
1022,0,1,0
1023,4,2,0
1024,1,2,0
1026,3,1,0
1027,3,2,0
1028,0,1,0
1029,2,2,0
1031,0,1,1
1032,0,1,0
1033,3,2,0
1034,1,4,0
1111,0,1,0
1136,0,1,0
1145,0,1,0
1163,0,3,0
1183,6,2,0
1241,3,2,0
1258,0,1,0
1265,0,1,0
1266,0,1,0
1275,0,1,0
1278,1,1,0
1279,0,1,0
1280,0,0,1
1281,1,1,0
1285,0,1,0
1286,0,1,0
1288,3,2,0
1289,0,1,0
1290,2,2,0
1291,1,2,0
1292,0,0,1
1293,0,1,0
1294,0,1,0
1295,0,1,0
1300,5,2,0
1302,1,1,0
1303,0,1,0
1305,2,1,0
1312,2,3,0
1313,0,1,0
1314,0,1,0
1315,0,0,1
1316,0,1,0
1317,0,1,0
1445,3,2,0
1446,2,2,0
1447,0,1,1
1448,0,1,0
1450,0,1,0
1451,0,1,0
1452,2,2,0
1453,1,2,0
1454,0,1,0
1456,1,2,0
1457,0,1,0
2368,0,1,0
2461,0,0,2
2524,0,1,0
2620,0,4,0
2713,0,1,1
2731,1,2,0
2800,0,1,0
2821,1,2,0
2889,1,2,0
2904,0,1,0
2905,3,2,0
2909,2,2,0
2939,0,1,0
2947,2,2,0
2948,2,1,0
2967,2,2,0
2969,3,2,0
3023,2,2,0
3099,1,2,0
3282,0,1,2
3283,1,1,0
3366,1,2,0
3369,2,2,0
3388,5,2,0
3391,4,2,0
3392,2,2,0
3394,3,2,0
3398,0,1,0
3403,3,2,0
3405,3,2,0
3406,3,2,0
3408,3,2,0
3409,4,2,0
3410,5,2,0
3411,3,2,0
3412,2,2,0
3414,3,2,0
3419,1,3,0
3420,3,2,0
3421,0,1,0
3425,5,2,0
3426,1,2,0
3427,3,4,0
3428,0,3,0
3429,0,1,1
3430,0,1,0
3431,0,1,0
3432,2,4,0
3434,0,2,0
3435,0,1,0
3436,0,1,0
3438,0,1,0
3439,0,1,0
3441,0,1,0
3442,0,1,0
3443,0,1,0
3444,4,2,0
3445,2,2,0
3446,4,2,0
3448,2,2,0
3449,3,2,0
3451,0,1,0
3455,0,1,1
3456,0,2,0
3458,0,1,0
3462,0,1,0
3463,0,1,0
3466,0,1,0
3467,2,2,0
3470,3,2,0
3472,1,2,0
3473,0,1,0
3474,0,2,0
3478,0,1,0
3479,1,3,0
3486,3,2,0
3491,1,2,0
3492,1,3,0
3499,4,2,0
3505,4,2,0
3507,0,1,0
3508,3,2,0
3509,3,2,0
3510,2,2,0
3511,4,2,0
3514,2,3,0
3516,3,2,0
3517,3,2,0
3519,2,2,0
3520,3,2,0
3521,2,2,0
3525,2,2,0
3526,2,2,0
3527,1,2,0
3528,2,2,0
3530,3,2,0
3532,3,2,0
3533,3,2,0
3534,3,2,0
3535,1,3,0
3543,2,2,0
3546,0,1,1
3548,3,2,0
3549,3,2,0
3551,0,1,0
3652,1,1,1
3653,3,2,0
3668,4,2,0
3680,2,2,0
3691,2,4,0
3693,1,0,0
3704,0,1,0
3728,0,1,0
3732,5,2,0
3737,0,1,0
3738,0,1,0
3757,0,1,0
3758,0,1,0
3765,2,1,0
3766,0,1,0
3769,3,1,1
3771,2,2,0
3772,5,2,0
3776,1,2,0
3777,1,1,0
3790,0,0,1
3791,0,1,0
3792,0,2,0
3793,0,1,0
3794,0,1,0
3795,0,1,0
3813,5,2,0
3840,0,1,0
3849,3,2,0
3850,0,1,0
3862,0,2,0
3863,0,1,0
3864,6,2,0
3867,5,2,0
3869,0,1,0
3870,3,2,0
3871,1,0,0
3872,0,1,0
3873,0,1,0
3875,0,1,0
3876,0,3,0
3877,0,1,0
3878,2,2,0
3879,0,1,0
3882,1,1,0
3883,0,1,0
3884,1,0,0
3885,0,1,0
3886,0,1,0
3893,3,2,0
3897,1,2,0
3917,2,2,0
3918,0,1,0
3920,0,1,0
3923,0,1,0
3924,2,2,0
3928,2,2,0
3932,0,2,0
3934,0,1,0
3936,0,1,0
3938,0,1,0
3941,0,1,0
3942,0,1,1
3943,0,1,0
3945,1,1,0
3958,1,2,0
3962,0,1,0
3963,3,2,0
3967,0,1,0
3969,0,1,0
3972,0,1,0
3973,0,1,0
3986,0,1,0
3987,0,1,0
3990,2,2,0
3991,0,1,0
3992,0,1,0
3995,0,1,0
3996,0,1,0
3999,0,2,0
4006,0,1,0
4014,0,1,0
4017,0,1,0
4036,0,2,0
4040,3,2,0
4042,0,1,0
4044,1,4,0
4188,2,2,0
4191,4,2,0
4193,0,1,0
4194,0,1,1
4195,0,2,0
4196,2,2,0
4198,2,1,0
4199,0,2,0
4201,0,2,0
4208,4,2,0
4211,0,1,0
4212,0,1,0
4213,0,1,0
4215,0,1,0
4216,0,1,0
4222,3,2,0
4242,2,3,0
4243,0,1,0
4293,1,2,0
4295,3,2,0
4296,2,2,0
4300,0,2,0
4332,2,2,0
4334,0,1,0
4336,0,1,0
4337,0,1,0
4338,0,1,0
4339,0,1,0
4340,0,1,0
4341,0,1,0
4342,0,1,0
4356,0,1,0
4357,0,1,0
4456,4,2,0
4469,0,1,0
4519,1,2,0
4603,0,1,0
4699,0,1,0
4718,1,2,0
4722,0,1,0
4733,0,1,0
4748,0,1,0
4783,1,1,0
4813,0,2,0
4818,2,2,0
4886,3,2,0
4896,1,2,0
4897,0,2,0
4898,1,2,0
4902,0,1,0
4910,0,1,0
4915,0,1,0
4925,0,3,0
4933,2,2,0
4951,0,1,0
4952,0,1,0
4953,0,1,0
4954,0,1,0
4955,0,1,0
4992,0,0,1
4996,1,2,0
6603,0,1,0
6608,4,3,0
6610,2,1,0
6614,0,2,0
6615,1,2,0
6616,0,1,0
6617,1,1,0
6618,0,1,0
6619,0,1,0
6620,0,1,0
6623,0,1,1
6624,2,2,0
6625,2,1,0
6626,0,1,0
6627,0,1,0
6632,0,1,0
6633,0,0,1
6637,0,1,0
6638,0,1,0
6639,0,1,0
6886,1,1,0
6889,2,1,0
6899,0,1,0
6900,0,1,0
6910,0,1,0
6912,0,1,0
6916,2,2,0
6917,0,1,0
6918,0,1,0
6922,2,2,0
6925,0,1,0
6926,0,1,0
6927,0,1,0
6928,0,1,0
6934,0,1,0
6981,2,2,0
6982,0,2,0
6985,3,2,0
6986,2,2,0
6988,1,2,0
6992,0,2,0
6996,0,2,0
6998,1,2,0
7003,2,2,0
7006,0,1,0
7011,0,1,0
7012,0,1,0
7013,0,3,0
7014,0,1,0
7016,0,1,0
7020,0,1,0
7021,0,1,0
7022,0,1,0
7048,4,2,0
7223,1,2,0
7241,0,1,0
7267,1,4,0
7309,0,1,0
7438,1,2,0
7449,1,1,0
7451,0,1,0
7471,0,1,0
7475,0,1,0
7481,0,1,0
7484,0,1,0
7485,0,1,0
7488,0,1,0
7489,0,1,0
7495,0,1,0
7497,0,1,0
7510,1,1,0
7511,0,1,0
7512,2,1,0
7513,0,1,0
7823,1,2,0
7925,1,2,0
7980,0,1,0
7981,0,1,0
7982,3,2,0
7993,1,2,0
7994,1,3,0
7995,0,1,0
7998,0,3,0
8021,3,2,0
8025,3,2,0
8045,2,2,0
8046,1,2,0
8050,2,2,0
8052,3,2,0
8057,2,2,0
8065,2,2,0
8067,6,4,0
8068,2,3,0
8070,0,5,0
8074,0,1,0
8081,0,1,0
8082,0,1,0
8090,0,1,0
8095,1,1,0
8098,0,1,0
8101,0,1,0
8103,0,1,0
8108,0,1,0
8116,1,2,0
8118,2,2,0
8122,2,4,0
8125,0,1,0
8127,1,2,0
8128,5,2,0
8129,0,1,0
8130,0,1,0
8131,3,2,0
8137,1,3,0
8140,0,1,0
8142,2,2,0
8155,2,3,0
8159,0,1,0
8160,0,1,0
8164,1,2,0
8165,4,2,0
