case number,CA-LOS ANGELES,CA-LOS GATOS,CA-SAN DIEGO,CA-WALNUT CREEK,DE-WILMINGTON,FL-CLEARWATER,IL-CHICAGO,MA-FRAMINGHAM,MA-SPRINGFIELD,MI-ANN ARBOR,NC-CHARLOTTE,NY-BUFFALO,NY-NEW YORK CITY,OH-COLUMBUS,OH-CLEVELAND HEIGHTS,OH-TOLEDO,PA-PHILADELPHIA,PA-PITTSBURGH,WA-KENT,WI-MADISON,NY-Westchester
262,0.409553104,0.409553104,0.394282715,0.432197139,0.438723644,0.760478542,0.393604688,0.478250951,0.701367288,0.617139162,0.655848271,0.568433608,0.428942546,0.521743804,0.344913994,0.403148854,0.589249546,0.794744934,0.438723644,0.484879021,NA
295,0.173668217,0.187409836,0.128873654,0.19148647,0.18943975,0.530019394,0.162533657,0.219631807,0.515716078,0.233740707,0.364295601,0.293436823,0.183400305,0.266052779,0.121591314,0.173668217,0.25273763,0.551160907,0.199841907,0.228867711,NA
297,0.336642378,0.305001527,0.39330717,0.359719174,0.353053688,0.623716994,0.317459211,0.393819904,0.525177897,0.557530671,0.535108512,0.495450045,0.359719174,0.495606573,0.248773146,0.298876663,0.504382688,0.709597111,0.386904368,0.418344385,NA
303,0.451256532,0.428367277,0.438844548,0.474353924,0.457838776,0.796292606,0.447971649,0.500880158,0.703650597,0.662996597,0.676204712,0.593706505,0.477664867,0.560692689,0.350402241,0.421879035,0.623524056,0.812020502,0.49092537,0.524091656,NA
310,0.323341031,0.294985829,0.332208003,0.346685718,0.333207989,0.969458567,0.307357306,0.378343792,0.609926762,0.524580126,0.806305045,0.359105417,0.339900975,0.297172539,0.275997104,0.288938473,0.50150493,0.785719367,0.371150383,0.396717802,NA
316,0.363456138,0.329719702,0.369754511,0.388357242,0.381136366,1.000125038,0.342951819,0.425705386,0.655412504,0.645922786,0.751462623,0.303905045,0.388357242,0.356549749,0.335235214,0.323235954,0.47976143,0.839453315,0.418072718,0.453040351,NA
325,0.261156551,0.232815287,0.331835582,0.282456087,0.276247531,0.602059055,0.2438583,0.314967239,0.406242509,0.474029402,0.655656198,0.28115546,0.282456087,0.278835872,0.264883737,0.227439556,0.410635146,0.670799897,0.308270277,0.339162136,NA
337,0.311718206,0.290148173,0.322840268,0.334405965,0.318086499,0.872961824,0.30856829,0.361694933,0.5714474,0.519787193,0.803101636,0.335105438,0.337738044,0.277527148,0.308244937,0.284190599,0.489514398,0.77219725,0.351292614,0.386746044,NA
340,0.214082715,0.219617771,0.255527999,0.234016559,0.214082715,0.637694617,0.203385749,0.258790436,0.424751074,0.27366472,0.654038268,0.302061117,0.234016559,0.166106518,0.167399031,0.18342518,0.35659138,0.677445862,0.252390932,0.282310835,NA
365,0.249245891,0.270026547,0.31970387,0.276193496,0.273097236,0.560519674,0.232421815,0.31877071,0.407438916,0.429654531,0.641630092,0.304823666,0.263961818,0.259007251,0.284607752,0.249245891,0.390695149,0.687170178,0.28883441,0.33273527,NA
375,0.497493429,0.514446695,0.485139741,0.527343265,0.531675783,1.330092297,0.464457167,0.598543591,0.99554036,0.724519918,0.899149765,0.667760765,0.514446695,0.523880689,0.435563638,0.493299492,0.707347947,1.012705506,0.553582729,0.603118166,NA
376,0.509977379,0.466668358,0.512854024,0.541571703,0.532440732,1.170688926,0.483727542,0.58842391,0.974412451,0.755535579,0.839293625,0.71781495,0.541571703,0.626213303,0.35647683,0.458273768,0.733960539,1.020517126,0.57889801,0.622347187,NA
379,0.28737067,0.259323252,0.355807993,0.310684282,0.297201262,0.764683226,0.271522046,0.342585897,0.499653388,0.559053082,0.617594719,0.249574122,0.303889124,0.349147998,0.24099794,0.253382947,0.378782224,0.71637305,0.335310213,0.361236782,NA
383,0.263898811,0.288912025,0.313219754,0.292170022,0.292170022,0.746676278,0.246336573,0.352172666,0.543735437,0.352515533,0.669549334,0.331344695,0.285683512,0.214917755,0.189047531,0.276173632,0.36530455,0.719168441,0.319309304,0.363685877,NA
386,0.409553104,0.409553104,0.394282715,0.432197139,0.438723644,0.760478542,0.393604688,0.478250951,0.701367288,0.617139162,0.655848271,0.568433608,0.428942546,0.521743804,0.344913994,0.403148854,0.589249546,0.794744934,0.438723644,0.484879021,NA
