case number,CA-LOS ANGELES,CA-LOS GATOS,CA-SAN DIEGO,CA-WALNUT CREEK,DE-WILMINGTON,FL-CLEARWATER,IL-CHICAGO,MA-FRAMINGHAM,MA-SPRINGFIELD,MI-ANN ARBOR,NC-CHARLOTTE,NY-BUFFALO,NY-NEW YORK CITY,OH-COLUMBUS,OH-CLEVELAND HEIGHTS,OH-TOLEDO,PA-PHILADELPHIA,PA-PITTSBURGH,WA-KENT,WI-MADISON,FL-Lauderdale Lakes
82,0.315860409,0.30169624,0.307923554,0.339243655,0.339243655,0.691057764,0.279805104,0.369602434,0.574625996,0.533680065,0.620325041,0.467151054,0.333318191,0.430405912,0.254440356,0.310151661,0.488455909,0.718428054,0.351245483,0.382057279,NA
139,0.460717802,0.530135643,0.472286699,0.525642139,0.521168553,1.210653548,0.481829131,0.557505322,0.87675794,0.734381985,0.810343758,0.671774015,0.539181728,0.577579494,0.421736836,0.525642139,0.669846596,1.081576247,0.534648896,0.604595479,NA
205,0.432787418,0.420900776,0.440409606,0.47807877,0.47807877,1.306271881,0.397744561,0.517043344,0.84152424,0.715186,0.875376485,0.603603968,0.473853099,0.471386642,0.411365473,0.428802597,0.672528644,0.9856422,0.495191369,0.548461372,NA
222,0.424582895,0.442300932,0.487971168,0.474387273,0.498121642,1.163693407,0.41589569,0.532440188,0.916728067,0.820177462,0.67760617,0.58273282,0.479080727,0.70448232,0.385028749,0.465081791,0.592190992,1.025648693,0.474387273,0.557694154,NA
227,0.534714463,0.521443939,0.529045556,0.584739954,0.584739954,1.355786449,0.495413745,0.627137406,1.01577168,0.899021913,0.834619966,0.637718856,0.580107424,0.709308883,0.451979462,0.530272485,0.696636706,1.09029348,0.603429987,0.660926053,NA
231,0.339748389,0.362921616,0.396623403,0.366287731,0.362921616,0.563211226,0.314178625,0.397137631,0.557473366,0.550968874,0.532663963,0.542407081,0.366287731,0.538646041,0.282628792,0.352904647,0.486060792,0.712676997,0.373058993,0.407619243,NA
235,0.336761452,0.320816925,0.353454401,0.363313602,0.363313602,0.824418573,0.296368791,0.398245293,0.532740153,0.565735316,0.762432026,0.351804992,0.356557155,0.288284696,0.369527216,0.330322886,0.503464852,0.812054677,0.377058933,0.412737363,NA
238,0.081144739,0.089423117,0.059260427,0.091608587,0.091608587,0.309683577,0.077272796,0.108291849,0.205319013,0.086149419,0.133460108,0.075169474,0.090509913,0.062756028,0.056362283,0.088348104,0.077190715,0.351482483,0.099640118,0.114869631,NA
257,0.342806791,0.376832537,0.374339592,0.383878126,0.391002175,0.861686761,0.346117871,0.427769199,0.669308346,0.6601146,0.71307489,0.352628533,0.391002175,0.39716992,0.42229369,0.383878126,0.48076292,0.861297866,0.394593368,0.454597627,NA
271,0.218762009,0.211652544,0.226208471,0.233551591,0.24123536,0.657314469,0.193604474,0.268261863,0.381324182,0.381002013,0.726891221,0.244865799,0.233551591,0.179589676,0.248623135,0.211652544,0.35390924,0.639115364,0.24911391,0.273930687,NA
278,0.361900609,0.371146537,0.347361702,0.380487829,0.38362175,0.72762506,0.323071631,0.421916425,0.642477626,0.574484897,0.646082261,0.528462942,0.386765369,0.478080945,0.303749031,0.368053675,0.533202027,0.75894016,0.405817464,0.434917918,NA
281,0.16396994,0.195196508,0.131567981,0.193119605,0.191059554,0.525817602,0.173272513,0.208012889,0.491801861,0.25648971,0.352759968,0.303980823,0.199400957,0.286732413,0.142538401,0.193119605,0.262362229,0.579829109,0.197290285,0.230728679,NA
292,0.386955307,0.396443649,0.371996647,0.406010564,0.409215845,0.748073475,0.346899572,0.448207592,0.666662815,0.602675606,0.654246009,0.555019006,0.412428861,0.504815688,0.326839936,0.393271814,0.559713558,0.778547309,0.431854871,0.461372652,NA
309,0.119074482,0.126214511,0.08479764,0.127685747,0.124757803,0.358502017,0.103352581,0.148172028,0.275373358,0.129052227,0.182704177,0.11785415,0.130672147,0.097253623,0.077850421,0.124757803,0.113500518,0.446849656,0.13682304,0.149855318,NA
318,0.364470443,0.392709742,0.378402793,0.399969219,0.399969219,1.007753583,0.350840513,0.452917467,0.708323265,0.621086186,0.752321423,0.353522995,0.396329655,0.399385182,0.384768073,0.38910959,0.468567448,0.849319257,0.425986479,0.472686011,NA
324,0.389561661,0.415090618,0.383938596,0.421550586,0.421550586,0.758926261,0.377011434,0.467403801,0.677853878,0.626833057,0.595305601,0.474704018,0.4183171,0.551789434,0.335148431,0.411871402,0.493170804,0.781006521,0.444358743,0.48395599,NA
534,0.316727773,0.370568093,0.399976031,0.367037062,0.363527911,0.82368173,0.33293987,0.392209686,0.36897298,0.379145608,0.933656016,0.362373262,0.37769552,0.190986615,0.389380914,0.367037062,0.480278474,0.884511014,0.374120937,0.429973984,NA
