case,number of children,number of adults,number of seniors
262,0,1,0
295,0,1,0
297,0,1,0
303,0,1,0
310,2,2,0
316,2,2,0
325,4,2,0
337,3,2,0
340,2,2,0
365,3,2,0
375,1,2,0
376,0,2,0
379,2,2,0
383,2,2,0
386,0,1,0
390,0,2,0
395,1,2,0
396,0,2,0
399,0,1,0
402,3,2,0
423,1,2,0
426,0,1,0
466,4,2,0
474,1,1,0
483,0,1,0
484,1,2,0
637,0,1,0
638,5,2,0
641,0,2,0
644,0,1,0
645,0,1,0
650,0,1,0
651,0,1,0
673,0,1,0
674,0,1,0
706,2,2,0
707,0,1,0
708,0,1,0
709,0,1,0
722,3,2,0
747,0,1,0
768,2,2,0
822,0,1,0
842,0,2,0
870,5,2,0
897,2,3,0
898,0,1,0
919,2,1,0
920,0,1,0
921,0,1,0
922,0,1,0
923,0,1,0
1012,4,2,0
1017,2,2,0
1025,2,1,1
1035,0,1,0
1036,0,2,0
1039,0,3,0
1040,2,2,0
1042,0,1,0
1043,0,2,0
1044,0,1,0
1045,0,1,0
1097,2,2,0
1213,0,3,0
1250,0,1,0
1284,0,1,0
1287,3,2,0
1297,4,2,0
1301,1,2,0
1304,0,1,0
1310,1,2,0
1318,0,1,0
1319,0,1,0
1322,3,2,0
1323,2,1,0
1324,0,1,0
1325,0,1,0
1326,1,1,0
1327,0,1,0
1328,0,1,0
1329,0,1,0
1331,0,1,0
1332,0,1,0
1333,3,2,0
1334,4,3,0
1335,0,1,0
1336,0,0,1
1337,0,1,0
1338,0,1,0
1339,4,2,0
1341,0,1,0
1343,1,1,0
1390,0,2,0
1417,1,1,0
1437,4,2,0
1465,1,2,0
2369,0,1,0
2370,0,1,0
2371,0,1,0
2372,2,2,0
2373,1,1,0
2374,0,1,0
2375,0,1,0
2376,0,1,0
2379,0,1,0
2380,0,1,0
2381,0,1,0
2382,0,1,0
2383,0,1,0
2385,0,1,0
2392,0,1,0
2410,5,2,0
2438,1,2,0
2507,0,2,0
2721,0,1,0
